Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
232,Infiltrator,Renegade,Renegade,Peacekeeper,Tactical Toad,S+,0.01,223073676155501278,Snes,Ravager,
233,Deep Fried,No Item,Buster,Renegade,Black Horse,D,0.4924,497352008944364276,Ghost,Spyder,
234,Ironclaw,No Item,No Item,Ravager,Fox,D,0.4924,490706936822448498,Spec. Ops,Breaker,
235,Peacekeeper,No Item,Skyhammer,Breaker,Pug,B,0.0992,207227768700351286,Spec. Ops,Peacekeeper,
236,Breaker,No Item,Ravager,Ironclaw,Purple Frog,C,0.2973,007254286677609070,Albino,Skyhammer,0.65
237,Skyhammer,Spyder,No Item,Renegade,White Pupper,C,0.2973,723419600415113591,Guardian,Deep Fried,
238,Infiltrator,Buster,No Item,Peacekeeper,Bengal Cat,C,0.2973,240002173190777069,Phantom,Spyder,
239,Peacekeeper,No Item,Ironclaw,Buster,Black Shiba,C,0.2973,728249052733091675,Nero,Deep Fried,0.219
240,Buster,No Item,Spyder,Peacekeeper,Great White,C,0.2973,363006378511154928,Ghost,Breaker,0.25
241,Buster,No Item,Buster,Ravager,Boid,C,0.2973,541932931500909062,Spec. Ops,Spyder,0.1748
242,Deep Fried,Breaker,No Item,Breaker,Grey Wolf,D,0.4924,002236163914667214,Spec. Ops,Breaker,0.2
243,Ravager,No Item,No Item,Skyhammer,White Mouse,D,0.4924,490013949311779004,Phantom,Ravager,
244,Renegade,Peacekeeper,No Item,Ravager,Pig,D,0.4924,704588634000332005,Crimson,Ironclaw,
245,Breaker,Buster,No Item,Renegade,Golden Pupper,D,0.4924,140828201612444856,Camo,Ironclaw,0.127
246,Renegade,No Item,No Item,Breaker,Rabbit,D,0.4924,071826161044777771,Corps,Breaker,0.127
247,Renegade,Ravager,No Item,Spyder,Fox,D,0.4924,218497527020555669,Puff,Peacekeeper,
248,Infiltrator,Renegade,Renegade,Breaker,Platypus,S,0.0296,304834861195473560,Ghost,Skyhammer,0.095
249,Peacekeeper,Buster,No Item,Buster,Canadian Goose,D,0.4924,845049456712889029,C.A.T.,Deep Fried,0.187
250,Ironclaw,Skyhammer,No Item,Spyder,Black Shiba,C,0.2973,007600020845223541,Grape,Renegade,0.119
251,Peacekeeper,Skyhammer,No Item,Skyhammer,Canadian Goose,D,0.4924,002556147715881241,8008,Breaker,0.2434
252,Breaker,Peacekeeper,Spyder,Spyder,German Shepherd,C,0.2973,304877621680154210,Orng,Peacekeeper,
253,Buster,No Item,Ravager,Ravager,Brown Moose,C,0.2973,186635132522840036,Ghost,Buster,0.14
254,Deep Fried,Spyder,No Item,Infiltrator,Grey Wolf,D,0.4924,076698911909223531,Corps,Ironclaw,0.115
255,Peacekeeper,No Item,Infiltrator,Renegade,Koi,A,0.0593,123023209722381469,Puff,Ravager,0.189
256,Breaker,Buster,No Item,Infiltrator,Brown Moose,C,0.2973,547578310636559000,Crimson,Ironclaw,
257,Deep Fried,Infiltrator,Renegade,Ravager,Python,D,0.4924,911737434920612421,Red,Peacekeeper,
258,Buster,Deep Fried,No Item,Ironclaw,Cave Bat,D,0.4924,420093984570229632,Nebula,Ravager,1
259,Renegade,Infiltrator,No Item,Infiltrator,Blaze,D,0.4924,497440917068774920,Ghost,Renegade,
260,Buster,Infiltrator,No Item,Deep Fried,White Mouse,D,0.4924,140097390582223539,Corps,Peacekeeper,0.1463
261,Renegade,No Item,Breaker,Ravager,Hare,C,0.2973,308882735077140013,Puff,Spyder,0.115
262,Infiltrator,No Item,Ravager,Buster,Brown Mouse,C,0.2973,660410053144767078,High Tide,Renegade,0.178
263,Ironclaw,Deep Fried,No Item,Spyder,Centipede,C,0.2973,784076128890776516,Guardian,Breaker,0.25
264,Spyder,Breaker,No Item,Spyder,Staffie,D,0.4924,560021529284880864,Royal,Infiltrator,0.2497
265,Ironclaw,Spyder,No Item,Peacekeeper,Tiger,C,0.2973,607004477878114270,Maverick,Skyhammer,0.1237
266,Peacekeeper,Skyhammer,Skyhammer,Renegade,Cave Bat,D,0.4924,632495100725056383,Dune,Buster,
267,Infiltrator,Peacekeeper,Ravager,Renegade,Bengal Cat,C,0.2973,840052809172843090,Snes,Spyder,
268,Breaker,No Item,No Item,Peacekeeper,Rooster,D,0.4924,141938077600440713,Puff,Ironclaw,
269,Breaker,No Item,Skyhammer,Spyder,Boar,D,0.4924,913393622633853561,Puff,Ravager,0.169
270,Infiltrator,No Item,Skyhammer,Buster,Mako Shark,D,0.4924,210078555122154259,Dune,Ironclaw,0.1082
271,Peacekeeper,Peacekeeper,No Item,Infiltrator,Boar,D,0.4924,148188611780554804,Maverick,Ironclaw,0.1517
272,Spyder,No Item,No Item,Deep Fried,Bear,D,0.4924,420033499222553577,Puff,Ravager,0.1337
273,Spyder,No Item,Spyder,Deep Fried,Bengal Cat,C,0.2973,540076998211216312,Ghost,Breaker,0.1595
274,Deep Fried,No Item,No Item,Spyder,Cave Bat,D,0.4924,142404526911117056,Seal,Skyhammer,0.1335
275,Breaker,No Item,Spyder,Ravager,Cave Bat,D,0.4924,910054435611242889,Grape,Skyhammer,0.1249
276,Deep Fried,Renegade,No Item,Ravager,Ape,B,0.0992,550051638941555014,Phantom,Infiltrator,0.1245
277,Ironclaw,No Item,Ironclaw,Peacekeeper,Koala,A,0.0593,606558372866002437,8008,Ironclaw,0.109
278,Deep Fried,Renegade,Deep Fried,Breaker,Tuna,C,0.2973,727576869933403549,Grape,Breaker,0.165
279,Peacekeeper,No Item,Skyhammer,Infiltrator,Tiger,C,0.2973,361463111722601410,Orng,Ravager,0.115
280,Buster,No Item,No Item,Ravager,White Mouse,D,0.4924,634660332511227852,Maverick,Renegade,0.11
281,Renegade,Ironclaw,Ironclaw,Buster,Kitsune,S+,0.01,589137955063900036,Guardian,Peacekeeper,
282,Ravager,No Item,No Item,Spyder,Green Frog,D,0.4924,003606223333224932,Seal,Breaker,0.1184
283,Skyhammer,Spyder,Skyhammer,Ravager,Orange Cat,D,0.4924,143936933472457704,Ghost,Breaker,0.1195
284,Renegade,No Item,Skyhammer,Peacekeeper,Turkey,C,0.2973,308050372044056446,Royal,Renegade,
285,Ravager,Infiltrator,No Item,Peacekeeper,Orange Hamster,D,0.4924,777014373340889191,Dune,Skyhammer,0.0743
286,Breaker,Breaker,No Item,Ravager,White Mouse,D,0.4924,070055331614333043,Hero,Buster,
287,Buster,Skyhammer,No Item,Infiltrator,Dobermann,C,0.2973,185401516545331498,Orng,Infiltrator,0.115
288,Ravager,Buster,Ravager,Buster,Brown Moose,C,0.2973,060081653384044962,High Tide,Infiltrator,0.16
289,Deep Fried,Renegade,Ravager,Peacekeeper,Blaze,D,0.4924,287629670937120602,Spec. Ops,Deep Fried,0.138
290,Deep Fried,No Item,No Item,Breaker,Rottweiler,D,0.4924,422053468988776664,Maverick,Ravager,0.105
291,Infiltrator,No Item,Ravager,Spyder,Bear,D,0.4924,140053920144600691,Hero,Ravager,0.177
292,Skyhammer,No Item,Infiltrator,Renegade,Python,D,0.4924,490068907444923564,Seal,Ironclaw,0.11
293,Deep Fried,Buster,No Item,Skyhammer,Red Squid,A,0.0593,404436749942117733,Grape,Breaker,0.2267
294,Ironclaw,No Item,No Item,Breaker,Green Frog,D,0.4924,007261467877884999,Dune,Infiltrator,0.12
295,Renegade,Ravager,Buster,Peacekeeper,Grey Wolf,D,0.4924,073357379068068137,8008,Peacekeeper,0.1617
296,Renegade,No Item,No Item,Renegade,Orange Hamster,D,0.4924,918497103088336018,Snes,Peacekeeper,0.129
297,Deep Fried,Renegade,No Item,Ironclaw,Staffie,D,0.4924,772254186981006309,Grape,Skyhammer,
298,Breaker,Spyder,Infiltrator,Renegade,Collie,D,0.4924,289074808642806533,Idol,Skyhammer,0.12
299,Peacekeeper,No Item,Buster,Spyder,Corgi,D,0.4924,709078421755424262,Spec. Ops,Ironclaw,0.13
300,Spyder,Renegade,Renegade,Buster,Pig,D,0.4924,840014851249935629,Puff,Skyhammer,0.1
301,Deep Fried,Skyhammer,Ironclaw,Ironclaw,Polar Bear,B,0.0992,704252488975903656,Gb,Spyder,0.11
302,Infiltrator,Ravager,Buster,Ironclaw,Orange Spider,A,0.0593,162421785172302139,Corps,Infiltrator,
303,Infiltrator,Ravager,Ravager,Buster,Kaiju Styx,S+,0.01,742895152104489138,High Tide,Buster,0.99
304,Ravager,Ironclaw,Breaker,Ironclaw,Great White,C,0.2973,428025186381569142,Orng,Buster,0.22
305,Infiltrator,No Item,Spyder,Buster,Brown Mouse,C,0.2973,008054957111577092,Ghost,Skyhammer,0.184
306,Deep Fried,Peacekeeper,No Item,Infiltrator,White Mouse,D,0.4924,210090817948880034,Orng,Renegade,
307,Buster,No Item,Spyder,Ironclaw,Bengal Cat,C,0.2973,180064589577905491,Hero,Skyhammer,0.1385
308,Renegade,No Item,Spyder,Deep Fried,Turkey,C,0.2973,488009999055306371,Corps,Deep Fried,
309,Renegade,Renegade,No Item,Buster,Loxy Doge,B,0.0992,303673051024118483,C.A.T.,Ravager,
310,Ravager,Infiltrator,No Item,Ravager,Grey Hamster,D,0.4924,770002734380665099,Phantom,Spyder,0.0873
311,Buster,No Item,Ravager,Deep Fried,Centipede,C,0.2973,544500392555364867,Hero,Renegade,0.1399
312,Deep Fried,No Item,No Item,Renegade,Fox,D,0.4924,077756003955771278,Snes,Breaker,0.138
313,Ironclaw,Skyhammer,Buster,Infiltrator,Black Horse,D,0.4924,219855710875121895,C.A.T.,Buster,0.106
314,Ravager,No Item,No Item,Spyder,Orange Cat,D,0.4924,567809622377660058,Orng,Deep Fried,0.139
315,Breaker,Spyder,No Item,Buster,Rooster,D,0.4924,210089950660664939,Corps,Deep Fried,0.154
316,Infiltrator,No Item,Peacekeeper,Skyhammer,Boid,C,0.2973,723862444133087748,Seal,Spyder,
317,Infiltrator,No Item,Infiltrator,Ironclaw,Great White,C,0.2973,848076180122842802,Orng,Breaker,0.1163
318,Breaker,No Item,Ravager,Ravager,Loxy Doge,B,0.0992,800659832633847078,High Tide,Deep Fried,0.115
319,Breaker,No Item,Peacekeeper,Ravager,Koala,A,0.0593,249011237677807708,Seal,Infiltrator,0.1162
320,Spyder,Renegade,No Item,Breaker,Python,D,0.4924,211793769253778467,Dune,Ravager,0.118
321,Ironclaw,No Item,No Item,Spyder,Snake,D,0.4924,776351822811002029,Phantom,Infiltrator,0.142
322,Renegade,Deep Fried,Peacekeeper,Skyhammer,Mako Shark,D,0.4924,357212645000323009,Red,Spyder,0.2425
323,Skyhammer,Peacekeeper,Spyder,Ironclaw,Cave Bat,D,0.4924,700011582424004249,Grape,Infiltrator,0.18
324,Breaker,Renegade,Spyder,Infiltrator,Indigo Centipede,B,0.0992,758015210668812178,High Tide,Buster,0.207
325,Skyhammer,Spyder,Deep Fried,Buster,Zebra,B,0.0992,050053758418608426,Orng,Ravager,0.114
326,Infiltrator,No Item,No Item,Ironclaw,White Mouse,D,0.4924,420031186177118463,Corps,Infiltrator,0.12
327,Ironclaw,Ironclaw,No Item,Buster,Blue Whale,S,0.0296,932716355827770748,Seal,Breaker,0.3545
328,Skyhammer,No Item,No Item,Breaker,Orange Hamster,D,0.4924,214204369455557072,Seal,Skyhammer,
329,Deep Fried,Ravager,Deep Fried,Spyder,Bengal Cat,C,0.2973,000031523952804980,Seal,Infiltrator,0.109
330,Ravager,No Item,Deep Fried,Infiltrator,Great White,C,0.2973,488028018300406345,Puff,Ironclaw,0.137
331,Skyhammer,Peacekeeper,Breaker,Spyder,Prince Cat,D,0.4924,498042827440420718,Orng,Spyder,
332,Skyhammer,No Item,Deep Fried,Spyder,Chicken,C,0.2973,187886725444200070,High Tide,Breaker,0.119
333,Deep Fried,Breaker,Breaker,Peacekeeper,Delbert,S,0.0296,184856970935149049,Hero,Breaker,
334,Renegade,No Item,Ravager,Peacekeeper,Mako Shark,D,0.4924,910014872011408431,Corps,Skyhammer,0.11
335,Renegade,Breaker,No Item,Buster,Chicken,C,0.2973,487249159014116868,Camo,Deep Fried,0.119
336,Infiltrator,Ironclaw,No Item,Ironclaw,Python,D,0.4924,005150183154332829,Puff,Renegade,0.181
337,Spyder,No Item,Skyhammer,Deep Fried,Tuxedo Cat,C,0.2973,300005891211758423,Corps,Buster,0.196
338,Spyder,Peacekeeper,No Item,Deep Fried,Collie,D,0.4924,216537390232337755,Corps,Peacekeeper,0.076
339,Spyder,No Item,Breaker,Ravager,Tiger,C,0.2973,422839134255493030,Snes,Deep Fried,0.1725
340,Ravager,Breaker,Ironclaw,Ironclaw,Fox,D,0.4924,427782281377635643,Dune,Spyder,0.169
341,Breaker,No Item,Infiltrator,Buster,Panda,A,0.0593,764522451622161468,Ghost,Spyder,
342,Spyder,No Item,Ironclaw,Skyhammer,Peacock,B,0.0992,954596244233368440,Royal,Breaker,
343,Peacekeeper,Renegade,No Item,Ravager,Prince Cat,D,0.4924,354835239771004261,Puff,Buster,0.2025
344,Breaker,No Item,Spyder,Ironclaw,Purple Frog,C,0.2973,607270380688362586,Guardian,Renegade,0.14
345,Skyhammer,No Item,Peacekeeper,Spyder,Penguin,B,0.0992,408470420411880786,High Tide,Renegade,0.115
346,Infiltrator,No Item,No Item,Infiltrator,Green Frog,D,0.4924,635434019177004562,Unit 001,Skyhammer,0.2125
347,Ravager,Deep Fried,No Item,Breaker,Orange Hamster,D,0.4924,631446969370663021,Red,Breaker,0.11
348,Ravager,No Item,No Item,Breaker,Rottweiler,D,0.4924,844052367388000791,Dune,Spyder,0.116
349,Breaker,Peacekeeper,Deep Fried,Spyder,Black Horse,D,0.4924,357671722616307042,Orng,Infiltrator,0.1595
350,Spyder,Ironclaw,No Item,Renegade,Black Pupper,C,0.2973,489713200263881262,Spec. Ops,Ravager,0.0923
351,Ravager,No Item,Spyder,Deep Fried,Zebra,B,0.0992,351255991333007833,Red,Buster,0.0935
352,Infiltrator,Peacekeeper,Spyder,Breaker,Collie,D,0.4924,569022162116872132,Seal,Spyder,0.15
353,Skyhammer,No Item,Renegade,Breaker,Bengal Cat,C,0.2973,600002063466547865,C.A.T.,Spyder,0.0923
354,Deep Fried,No Item,Spyder,Ravager,Purple Centipede,B,0.0992,601855930900429100,Seal,Buster,
355,Buster,No Item,Skyhammer,Ravager,Tuxedo Cat,C,0.2973,781611738522352165,Grape,Infiltrator,0.129
356,Spyder,No Item,Renegade,Infiltrator,Blaze,D,0.4924,003655113222422845,Puff,Buster,0.104
357,Ironclaw,No Item,Ironclaw,Peacekeeper,Tribal Boar,S,0.0296,392743672888004260,Snes,Ravager,0.149
358,Infiltrator,Buster,No Item,Buster,Blaze,D,0.4924,215428356154002181,Grape,Ironclaw,0.155
359,Buster,No Item,Skyhammer,Peacekeeper,Tiger,C,0.2973,607003876544053594,High Tide,Ravager,0.1299
360,Ironclaw,Deep Fried,Deep Fried,Breaker,Salmon,C,0.2973,483927667830207580,Crimson,Peacekeeper,0.1379
361,Ravager,No Item,Spyder,Deep Fried,German Shepherd,C,0.2973,785615996300937002,Orng,Buster,0.11
362,Renegade,No Item,Skyhammer,Breaker,Bengal Cat,C,0.2973,000086162033254961,Puff,Breaker,0.114
363,Buster,No Item,Spyder,Spyder,White Pupper,C,0.2973,843453926588457074,Orng,Ravager,0.117
364,Ravager,Breaker,No Item,Peacekeeper,Tuna,C,0.2973,063091873300888432,Seal,Infiltrator,0.1975
365,Renegade,Renegade,No Item,Renegade,Black Pupper,C,0.2973,908471506078773007,Hero,Infiltrator,0.138
366,Ironclaw,No Item,No Item,Ravager,Collie,D,0.4924,219067937888558475,Dune,Peacekeeper,
367,Skyhammer,No Item,Deep Fried,Renegade,Salmon,C,0.2973,546595606422206051,Red,Buster,0.1329
368,Buster,Breaker,Peacekeeper,Deep Fried,Boar,D,0.4924,567802693577720853,Camo,Spyder,
369,Skyhammer,Renegade,No Item,Buster,Orange Spider,A,0.0593,882410550412446261,Police,Renegade,0.2522
370,Spyder,No Item,Ravager,Breaker,Prince Cat,D,0.4924,420058662222404056,Guardian,Ironclaw,0.1229
371,Deep Fried,No Item,Skyhammer,Deep Fried,Corgi,D,0.4924,770651594944301466,Orng,Infiltrator,0.199
372,Buster,Spyder,Skyhammer,Deep Fried,Mako Shark,D,0.4924,701298699566300766,Orng,Ironclaw,0.112
373,Ironclaw,Spyder,Peacekeeper,Deep Fried,Pig,D,0.4924,704537190872165638,High Tide,Peacekeeper,0.0848
374,Breaker,No Item,Ironclaw,Breaker,Collie,D,0.4924,008043066633547819,Hero,Ravager,0.165
375,Ironclaw,No Item,No Item,Buster,Rabbit,D,0.4924,147223358811004447,Camo,Ravager,0.122
376,Spyder,Renegade,Renegade,Ravager,Macaque,S,0.0296,069246732209211410,Orng,Breaker,
377,Peacekeeper,No Item,Skyhammer,Peacekeeper,Boid,C,0.2973,427602273766855687,Corps,Spyder,0.11
378,Infiltrator,Peacekeeper,No Item,Skyhammer,White Pupper,C,0.2973,185169842108771439,Corps,Deep Fried,0.1074
379,Breaker,No Item,No Item,Ravager,White Mouse,D,0.4924,776916931688774223,C.A.T.,Breaker,
380,Spyder,No Item,Skyhammer,Peacekeeper,Zebra,B,0.0992,353607577255300726,Orng,Peacekeeper,0.0875
381,Ravager,Skyhammer,No Item,Buster,Rooster,D,0.4924,425700659300661802,Spec. Ops,Renegade,0.1993
382,Ravager,Peacekeeper,Infiltrator,Infiltrator,Bull,D,0.4924,706051719380009124,Seal,Infiltrator,0.0888
383,Spyder,Buster,No Item,Infiltrator,Corgi,D,0.4924,000019812200224968,Ghost,Deep Fried,0.1997
384,Buster,No Item,Skyhammer,Renegade,White Pupper,C,0.2973,185189602511359062,Spec. Ops,Deep Fried,
385,Peacekeeper,No Item,Renegade,Breaker,Raccoon,B,0.0992,351096269755446613,Hero,Breaker,0.135
386,Infiltrator,Breaker,Peacekeeper,Peacekeeper,Snake,D,0.4924,074271479149164261,Hero,Infiltrator,0.1168
387,Infiltrator,No Item,Ravager,Skyhammer,Chicken,C,0.2973,848437346100880072,Snes,Peacekeeper,0.11
388,Infiltrator,Buster,No Item,Breaker,Blaze,D,0.4924,141639169172332812,Ghost,Deep Fried,0.119
389,Breaker,No Item,Spyder,Renegade,Boid,C,0.2973,725750308688577772,Seal,Renegade,0.111
390,Infiltrator,Ironclaw,Renegade,Spyder,Salmon,C,0.2973,365261625136470772,Seal,Infiltrator,0.129
391,Renegade,No Item,Skyhammer,Renegade,Black Horse,D,0.4924,490146903055155082,Mint,Breaker,0.1433
392,Buster,Buster,Ravager,Renegade,Bear,D,0.4924,770016704560203655,Hero,Breaker,0.1424
393,Buster,Breaker,Buster,Skyhammer,Orange Hamster,D,0.4924,285647249514364908,Seal,Peacekeeper,0.0997
394,Deep Fried,Spyder,Peacekeeper,Peacekeeper,Rooster,D,0.4924,140045576900881294,Maverick,Buster,
395,Ironclaw,No Item,No Item,Peacekeeper,Cave Bat,D,0.4924,704847370844552815,Corps,Peacekeeper,0.1493
396,Deep Fried,No Item,Infiltrator,Buster,Peacock,B,0.0992,751534259966583095,C.A.T.,Skyhammer,0.11
397,Buster,No Item,Spyder,Buster,Purple Frog,C,0.2973,361289156533271667,Royal,Deep Fried,0.1
398,Ironclaw,No Item,No Item,Breaker,Fox,D,0.4924,071448066888118449,Grape,Ironclaw,0.1384
399,Skyhammer,No Item,Renegade,Deep Fried,Sloth,B,0.0992,552699499400246572,Mint,Deep Fried,0.14
400,Skyhammer,No Item,Spyder,Ravager,Orange Cat,D,0.4924,846560734411069073,Idol,Renegade,
401,Skyhammer,No Item,No Item,Breaker,Collie,D,0.4924,496004368422330764,Seal,Skyhammer,
402,Skyhammer,Peacekeeper,No Item,Ravager,White Pupper,C,0.2973,361766935432227775,Dune,Breaker,0.25
403,Skyhammer,Deep Fried,No Item,Buster,Black Horse,D,0.4924,709744052420115409,Red,Skyhammer,0.099
404,Buster,Spyder,No Item,Renegade,Black Shiba,C,0.2973,423452907566889173,Grape,Spyder,0.11
405,Buster,Breaker,No Item,Skyhammer,Centipede,C,0.2973,488523644584889095,Crimson,Ravager,0.124
406,Deep Fried,No Item,No Item,Spyder,Rooster,D,0.4924,495770120944007056,Seal,Renegade,
407,Skyhammer,No Item,Infiltrator,Ironclaw,Sloth,B,0.0992,206555989400164568,Idol,Buster,
408,Renegade,No Item,Infiltrator,Spyder,Dobermann,C,0.2973,600040021022849019,Hero,Renegade,0.134
409,Skyhammer,Ironclaw,Ironclaw,Deep Fried,Purple Centipede,B,0.0992,359002692463457276,Maverick,Spyder,0.124
410,Peacekeeper,Deep Fried,No Item,Ravager,Tuna,C,0.2973,724513236770330009,Grape,Ravager,0.1
411,Buster,No Item,Peacekeeper,Ironclaw,Python,D,0.4924,070006587555004959,Dune,Breaker,0.1683
412,Skyhammer,No Item,Deep Fried,Peacekeeper,Zebra,B,0.0992,700075278455502821,Puff,Buster,0.109
413,Buster,Buster,Infiltrator,Infiltrator,Centipede,C,0.2973,600040216512647289,C.A.T.,Renegade,0.13
414,Breaker,Renegade,Ironclaw,Breaker,Fruit Bat,C,0.2973,067236867657453659,Camo,Breaker,0.175
415,Infiltrator,No Item,Deep Fried,Renegade,Zebra,B,0.0992,802433300100308438,Spec. Ops,Ravager,0.18
416,Spyder,No Item,Infiltrator,Ironclaw,Rabbit,D,0.4924,561817785277664225,Grape,Peacekeeper,0.119
417,Peacekeeper,No Item,Peacekeeper,Buster,Koi,A,0.0593,560055956766484972,Seal,Buster,0.4
418,Breaker,No Item,Ironclaw,Buster,Black Shiba,C,0.2973,005890156611540047,Corps,Renegade,
419,Buster,No Item,Renegade,Renegade,Pig,D,0.4924,004567202577266425,Royal,Peacekeeper,0.27
420,Infiltrator,No Item,Peacekeeper,Deep Fried,Penguin,B,0.0992,559188694177088520,Crimson,Ironclaw,0.1895
421,Infiltrator,No Item,Infiltrator,Infiltrator,Great White,C,0.2973,904058110122602195,Corps,Ironclaw,0.25
422,Ravager,No Item,Buster,Renegade,Brown Mouse,C,0.2973,845693600377306337,Puff,Ravager,
423,Buster,No Item,Peacekeeper,Ironclaw,Boar,D,0.4924,773345284577083574,Orng,Buster,0.051
424,Ironclaw,No Item,No Item,Infiltrator,Golden Pupper,D,0.4924,560019717811442804,Ghost,Deep Fried,0.195
425,Ravager,Ironclaw,Infiltrator,Spyder,Centipede,C,0.2973,783578728318284099,Phantom,Ironclaw,0.2
426,Infiltrator,Deep Fried,No Item,Infiltrator,Black Horse,D,0.4924,356197616190445491,Hero,Peacekeeper,0.139
427,Spyder,No Item,Ravager,Spyder,Grey Wolf,D,0.4924,845564527244967254,Snes,Skyhammer,0.138
428,Peacekeeper,Skyhammer,Skyhammer,Infiltrator,White Pupper,C,0.2973,546830919770651224,Snes,Renegade,0.2167
429,Infiltrator,Buster,No Item,Breaker,Rabbit,D,0.4924,073626767112883542,Orng,Breaker,0.086
430,Deep Fried,Renegade,No Item,Breaker,Black Horse,D,0.4924,708940465944666529,Phantom,Renegade,0.0681
431,Deep Fried,Spyder,Renegade,Skyhammer,Neon Centipede,S,0.0296,369056940927704216,Maverick,Breaker,0.129
432,Breaker,No Item,Breaker,Skyhammer,Black Pupper,C,0.2973,187232742600702419,Hero,Spyder,0.115
433,Spyder,No Item,Ironclaw,Ravager,Blue Spider,B,0.0992,557753933222180729,Puff,Ravager,0.1717
434,Spyder,Infiltrator,Infiltrator,Ironclaw,Bull,D,0.4924,915636881240280606,Snes,Breaker,
435,Skyhammer,No Item,Peacekeeper,Deep Fried,Clover,C,0.2973,061404594411720638,Albino,Skyhammer,0.342
436,Ironclaw,Renegade,Spyder,Skyhammer,Tuxedo Cat,C,0.2973,606438243807637262,Spec. Ops,Ironclaw,
437,Ravager,No Item,Ironclaw,Buster,White Pupper,C,0.2973,781725154366810732,Seal,Buster,0.086
438,Infiltrator,No Item,Buster,Spyder,Brown Mouse,C,0.2973,181295826122787099,Dune,Buster,
439,Skyhammer,No Item,No Item,Infiltrator,Pig,D,0.4924,281563710477779160,Ghost,Ravager,0.2
440,Ravager,No Item,Skyhammer,Buster,Peacock,B,0.0992,453062151355905257,Nero,Spyder,0.15
441,Breaker,Breaker,Ironclaw,Infiltrator,Great White,C,0.2973,487083415642362182,Orng,Ravager,0.13
442,Spyder,No Item,No Item,Ironclaw,Golden Pupper,D,0.4924,144065682277448881,Nero,Buster,
443,Breaker,Deep Fried,Skyhammer,Peacekeeper,Pig,D,0.4924,146012979610108039,Phantom,Spyder,0.112
444,Buster,No Item,No Item,Ironclaw,Grey Wolf,D,0.4924,635535881533117709,Grape,Buster,0.16
445,Ironclaw,Skyhammer,Spyder,Spyder,Koi,A,0.0593,766007629855180004,Ghost,Peacekeeper,0.1867
446,Infiltrator,No Item,No Item,Spyder,Fox,D,0.4924,562159328188887846,Maverick,Deep Fried,
447,Ravager,Breaker,Ironclaw,Skyhammer,Penguin,B,0.0992,103570743384364839,Red,Renegade,0.142
448,Infiltrator,No Item,Renegade,Skyhammer,Bull,D,0.4924,776804346188964841,C.A.T.,Skyhammer,0.11
449,Infiltrator,Ravager,No Item,Infiltrator,Bear,D,0.4924,840092115168880047,C.A.T.,Spyder,0.1522
450,Buster,Peacekeeper,Ironclaw,Spyder,Mako Shark,D,0.4924,426059028524810756,Seal,Deep Fried,0.11
451,Ravager,No Item,Buster,Buster,Black Shiba,C,0.2973,361465959355720788,Seal,Buster,0.24
452,Ironclaw,No Item,Peacekeeper,Infiltrator,Hare,C,0.2973,604494915888321459,Dune,Skyhammer,0.1587
453,Renegade,No Item,Deep Fried,Peacekeeper,Bengal Cat,C,0.2973,300090678011904202,Orng,Renegade,
454,Renegade,No Item,Infiltrator,Deep Fried,Pug,B,0.0992,204061797000340759,Dune,Infiltrator,
455,Skyhammer,Deep Fried,No Item,Breaker,Peacock,B,0.0992,757586464440661488,Seal,Breaker,0.27
456,Spyder,Spyder,No Item,Renegade,Mako Shark,D,0.4924,214899402230770675,Red,Deep Fried,
457,Ravager,No Item,Ravager,Breaker,Centipede,C,0.2973,540021663377762848,Seal,Infiltrator,0.1864
458,Skyhammer,No Item,Ironclaw,Renegade,Brown Moose,C,0.2973,785146504466187871,C.A.T.,Breaker,0.1877
459,Infiltrator,Deep Fried,Breaker,Buster,Black Shiba,C,0.2973,845071550170912486,Spec. Ops,Infiltrator,0.0925
